id,nome,categoria,endereco_rua,numero,bairro,endereco_formatado,latitude,longitude,cuisine,site
12320433742,Versailles,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6976624,-9.1991995,Não especificada,
12320531543,Restaurante Chinês-Grande Mundo,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6980873,-9.1992923,Não especificada,
12320531544,Augusto Lisboa,Café,,,,Endereço não disponível no OSM (Apenas Coordenadas),38.6982263,-9.1993524,Não especificada,
12326985267,PROVA (enoteca),Restaurante,Rua Duarte Pacheco Pereira,9E,,"Rua Duarte Pacheco Pereira, 9E",38.6984501,-9.2185426,portuguese,https://www.facebook.com/ProvaEnoteca/
12326985270,Pizza na Brasa (Forno de Lenha),Restaurante,Rua Duarte Pacheco Pereira,7C,,"Rua Duarte Pacheco Pereira, 7C",38.698032,-9.2191178,pizza;italian,https://pizzanabrasa.pt/a-nossa-ementa/pizza/pizzas/
12326985275,Tjela,Restaurante,Rua Duarte Pacheco Pereira,26C,,"Rua Duarte Pacheco Pereira, 26C",38.6978572,-9.2187815,oriental;japanese;vietnamese;fusion,https://www.tjela.pt/
12326985278,Oak Berry,Fast Food/Lanchonete,Rua Duarte Pacheco Pereira,28E,,"Rua Duarte Pacheco Pereira, 28E",38.6981621,-9.2184718,açai,
12326985279,Empanadas Maxi,Fast Food/Lanchonete,Rua Duarte Pacheco Pereira,28C,,"Rua Duarte Pacheco Pereira, 28C",38.6981908,-9.2184403,mexican;ice_cream,
12326985280,Frutaria Restelo,Loja de Conveniência,Rua Duarte Pacheco Pereira,28D,,"Rua Duarte Pacheco Pereira, 28D",38.6982236,-9.2183972,Não especificada,
12329042096,Palhoça,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-23.0561353,-45.5555347,Não especificada,
12383251600,Porto Grill Beer,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4429331,-48.4939217,barbecue,
12383263039,Delicias da Rosa,Restaurante,,,,Endereço não disponível no OSM (Apenas Coordenadas),-1.4513631,-48.4936188,regional,
