DISTRITO,BAIRRO,END_COMPLETO,NUM_ENDERECO,LATITUDE,LONGITUDE,DSC_ESTABELECIMENTO,COD_INDICADOR_ESTAB_ENDERECO
DAICO,PARQUE GUAJARA,RUA  DEZESSETE DE ABRIL,4,-1.314718,-48.465418,BAR NERVOSA,1.0
DABEN,TAPANA,RUA  A,2004,-1.348882,-48.473816,RESTAURANTE,1.0
DABEN,COQUEIRO,AVENIDA SAO PEDRO,0,-1.351665,-48.436523,RESTAURANTE CHURRASCO DO SILVIO,1.0
DABEN,COQUEIRO,AVENIDA SAO PEDRO,13,-1.351153,-48.436286,RESTAURANTE BOM SABOR,1.0
DABEN,COQUEIRO,AVENIDA SAO PEDRO,9,-1.351772,-48.436566,BAR GELADAO,1.0
DAICO,AGULHA,RUA  OITO DE MAIO,1015,-1.307444,-48.46899,BOTECO DA 8,1.0
DAICO,AGULHA,RUA  OITO DE MAIO,585,-1.306835,-48.469101,ACAI E RESTAURANTE DEUS E FIEL,1.0
DABEN,TAPANA,RUA SAO CLEMENTE,56,-1.357999,-48.465708,DEPOSITO DE BEBIDAS,1.0
DAICO,TENONE,RUA  GIRASSOL,17,-1.315082,-48.438091,BAR E MERCEARIA,1.0
DABEL,REDUTO,TRAVESSA  RUI BARBOSA,819,-1.449631,-48.489941,RESTAURANTE CANTINA CULINARIA,1.0
DABEL,UMARIZAL,TRAVESSA DOM ROMUALDO COELHO,0,-1.438475,-48.491418,KIEV LOUNGE BAR,1.0
DABEL,MARCO,AVENIDA  ROMULO MAIORANA,1463,-1.434805,-48.461484,RESTAURANTE REI DO ESPETINHO,1.0
DAENT,MANGUEIRAO,RUA  PRINCIPAL,0,-1.377766,-48.438085,BAR SAO JORGE GUERREIRO,1.0
DAGUA,JURUNAS,TRAVESSA  BOM JARDIM,1985,-1.473683,-48.488429,DEPOSITO BEBIDAS,1.0
DAGUA,GUAMA,TRAVESSA  MUCAJAS,28,-1.467375,-48.470019,RESTAURANTE SABER CASEIRO,1.0
DABEN,COQUEIRO,ALAMEDA  NS 15,28,-1.334885,-48.440813,BAR,1.0
DABEL,UMARIZAL,TRAVESSA  POMBAL,100,-1.437532,-48.486519,BUFALO CHURRASCARIA,1.0
DABEN,CABANAGEM,RUA SANTO ANTONIO,2,-1.361461,-48.439941,BAR NAZA BAR,1.0
DAICO,AGUAS NEGRAS,ESTRADA  DA MARACACUERA,22,-1.301736,-48.464396,RESTAURANTE POPULAR,1.0
DABEL,BATISTA CAMPOS,RUA  DOS PARIQUIS,1943,-1.459987,-48.48696,RESTAURANTE,1.0
DABEN,PARQUE VERDE,RUA  PRINCIPAL,2,-1.352321,-48.452701,RESTAURANTE LS,1.0
DABEN,PARQUE VERDE,RUA  PRINCIPAL,0,-1.352415,-48.452516,RESTAURANTE ALTAS HORAS,1.0
DABEL,BATISTA CAMPOS,TRAVESSA  QUINTINO BOCAIUVA,1900,-1.455988,-48.485555,RESTAURANTE BRASILEIRO,1.0
DABEL,BATISTA CAMPOS,RUA  DOS PARIQUIS,2115,-1.459761,-48.486013,BARZINHO E RESTAURANTE,1.0
DABEN,TAPANA,RUA  SEM DENOMINACAO,109,-1.340024,-48.467002,RESTAURANTE DA THIELLY,1.0
DAENT,AGUAS LINDAS,AVENIDA  OSVALDO ORLANDO COSTA,37,-1.406502,-48.393813,RESTAURANTE PARAISO,1.0
DAENT,MARAMBAIA,PASSAGEM SANTA RITA,39,-1.404305,-48.445844,MERCEARIA SILVAS BAR,1.0
DABEL,NAZARE,AVENIDA  NAZARE,189,-1.453578,-48.490974,CHURRASCARIA ALBATROZ,1.0
DABEL,NAZARE,AVENIDA  NAZARE,375,-1.452901,-48.489424,RESTAURANTE,1.0
DAENT,MARAMBAIA,AVENIDA  DALVA,47,-1.403744,-48.444296,RESTAURANTE,1.0
DAENT,MARAMBAIA,AVENIDA  DALVA,198,-1.403607,-48.44276,RESTAURANTE DU DELICIAS,1.0
DAENT,MARAMBAIA,AVENIDA  DALVA,318,-1.403884,-48.444393,BAR,1.0
DAGUA,CONDOR,TRAVESSA  DOS TUPINAMBAS,1519,-1.469945,-48.483196,PEIXARIA FRANGO DO JUNIOR,1.0
DAENT,CASTANHEIRA,RUA SAO JORGE,218,-1.408607,-48.427988,DEPOSITO DE BEBIDAS MAUES,1.0
DAENT,CASTANHEIRA,RUA SAO JORGE,30,-1.407436,-48.428068,BAR,1.0
DAENT,CASTANHEIRA,RUA SAO JORGE,48,-1.403854,-48.428163,MEGA FRITAS RESTAURANTE E LANCHONETE,1.0
DASAC,TELEGRAFO,RUA  TANCREDO NEVES,6,-1.41888,-48.489723,DEPOSITO DE BEBIDAS FERREIRA,1.0
DAOUT,SAO JOAO DO OUTEIRO,TRAVESSA  ORLANDO RODRIGUES,44,-1.263726,-48.459592,BAR DO ANDREY,1.0
DAGUA,CANUDOS,AVENIDA CONSELHEIRO FURTADO,3915,-1.455738,-48.463724,BAR,1.0
DAENT,GUANABARA,RUA  DO FIO,933,-1.400805,-48.417965,BAR,1.0
DAENT,GUANABARA,RUA  DO FIO,877,-1.400148,-48.418515,BAR RESIDENCIAL E CASA DE EVENTOS,1.0
